"","X.1","partyname","X","user.id","user.name","user.profilePic","user.profileUrl","pageName","postId","viewsCount","time","link","text","likes","url","countryname","rile","date","Language","Anger","Hope","Enthusiasm","Fear","Anxiety","Pride","Words"
"1",76965,"The Party of Wales",1610,100044424429675,"Plaid Cymru","https://scontent-mia3-1.xx.fbcdn.net/v/t39.30808-1/323893668_1358208984938720_317741244303901002_n.jpg?stp=cp0_dst-jpg_s40x40_tt6&_nc_cat=100&ccb=1-7&_nc_sid=2d3e12&_nc_ohc=Bh7nGAfX3moQ7kNvwHFhF_Z&_nc_oc=Adnq6a5zff16I084VVVY_QNyYzTr-5y1GCdmuSwfZ4Xuy-pqD2goAk6rFkdTzfRNa7A&_nc_zt=24&_nc_ht=scontent-mia3-1.xx&_nc_gid=Tv5tN4nZIJvdfEWeVFZN7Q&oh=00_AfFDnK9vU-3kZXyfYJtJMKju7veffSgGlosvj2GhF2G5mg&oe=68103F6A","https://www.facebook.com/PlaidCymruWales","PlaidCymruWales",10157424402335992,1936,"2019-10-25 16:51:15",NA,"🚨 newydd / new 🚨





delyth jewell ac/am: ""could i ask, if the welsh government were to be in the position in the future to call for an independence referendum, would the uk consent to that happening?""





michael gove mp: ""that is a decision above my paygrade.""





not a no then!󠁧󠁢󠁷󠁬󠁳󠁿󠁧󠁢󠁷󠁬󠁳󠁿 #annibyniaeth #indywales",71,"https://www.facebook.com/PlaidCymruWales/videos/400827247254575/","United Kingdom",-18.717,201912,0.32,0.2,0.5,0.35,0.25,0.4,0.55,44
"2",76675,"The Party of Wales",1838,100044424429675,"Plaid Cymru","https://scontent-hou1-1.xx.fbcdn.net/v/t39.30808-1/323893668_1358208984938720_317741244303901002_n.jpg?stp=cp0_dst-jpg_s40x40_tt6&_nc_cat=100&ccb=1-7&_nc_sid=2d3e12&_nc_ohc=Bh7nGAfX3moQ7kNvwFoFRku&_nc_oc=AdmU62OTpvzyGdsC8u7ifmVrx2mkQGB8KbUKlGJW0QShRHuPMv1nKFSGfQ0B9IhJHCg&_nc_zt=24&_nc_ht=scontent-hou1-1.xx&_nc_gid=C6y-VSQK63Z6ttWLC8WxAQ&oh=00_AfFIgYHPoaeZ5XiB0JW4v40hINYcWVBpVXqoJp1XsBbl4g&oe=68103F6A","https://www.facebook.com/PlaidCymruWales","PlaidCymruWales",10157400947520992,NA,"2019-10-17 11:37:36","https://www.bbc.co.uk/news/uk-wales-politics-50083216","""if, as has been rumoured, a border down the irish sea will be created the welsh economy will take a significant hit - especially in places like holyhead.





for the sake of our democracy, economy and constituents, it is only right that this deal is put back to the people, alongside the option to remain"" liz saville roberts as/mp",325,"https://www.facebook.com/PlaidCymruWales/posts/pfbid0YmvdKxDHpCtaaoH28gz2WgkGdEG1wVNffHDsc3Ub6Ta6k6piCw8YzhUUXE2JZqB3l","United Kingdom",-18.717,201912,0.25,0.4,0.6,0.5,0.3,0.2,0.15,48
"3",76815,"The Party of Wales",1381,100044424429675,"Plaid Cymru","https://scontent-lax3-2.xx.fbcdn.net/v/t39.30808-1/323893668_1358208984938720_317741244303901002_n.jpg?stp=cp0_dst-jpg_s40x40_tt6&_nc_cat=100&ccb=1-7&_nc_sid=2d3e12&_nc_ohc=Bh7nGAfX3moQ7kNvwHJYnEv&_nc_oc=AdkUdYxl7bqTIRGdvmhF00YUR2yFfM8Sv6UN1DKoTpAIl8qg9ru1GJWYRx1oZycaZ50&_nc_zt=24&_nc_ht=scontent-lax3-2.xx&_nc_gid=VbUQMV3pUhIKab__UpH9pw&oh=00_AfEBQx_LwszyoqeuWhPvYVl0l_oIDMNhruVPEI-Xl9glkA&oe=68103F6A","https://www.facebook.com/PlaidCymruWales","PlaidCymruWales",10157453931915992,NA,"2019-11-04 10:08:16",NA,"ni yw cymru. lansiad ymgyrch yn fyw am 11. 





wales, it's us. campaign launch live at 11",17,"https://www.facebook.com/PlaidCymruWales/posts/pfbid02f4U5fEcqHEbYspd1PUxedXguE2oiF6DZ9EjJ4S8tDMnoyTqbXoVB4f5jsENhqgoLl","United Kingdom",-18.717,201912,0.2,0,0.5,0,0,0.7,0.6,10
"4",76879,"The Party of Wales",492,100044424429675,"Plaid Cymru","https://scontent-iad3-2.xx.fbcdn.net/v/t39.30808-1/323893668_1358208984938720_317741244303901002_n.jpg?stp=cp0_dst-jpg_s40x40_tt6&_nc_cat=100&ccb=1-7&_nc_sid=2d3e12&_nc_ohc=Bh7nGAfX3moQ7kNvwEk59D3&_nc_oc=AdnQNJD7uLJmxqplhvMBGtgvuaBOfi-cDDJbR2qiNhLK5ZO7kHh7HMJogLkb-56AtrI&_nc_zt=24&_nc_ht=scontent-iad3-2.xx&_nc_gid=8C-YXgeH5ci7Cvf32ccQaA&oh=00_AfG3Mw1wz-Jgrl2UZL10tMeKOEKbKPoWupNaFx_1CIbqxw&oe=68103F6A","https://www.facebook.com/PlaidCymruWales","PlaidCymruWales",10157528518890992,NA,"2019-11-29 13:55:28",NA,"child poverty is rising, life expectancy is falling, our transport infrastructure is failing. we can make this election a turning point in our nation's history by voting plaid cymru.",21,"https://www.facebook.com/PlaidCymruWales/posts/pfbid02obdHJ8azWJB1JyqiWE9bLzJnC4w4qnHq81bTEJkrmhtW7VN7Jj1nGdzEPnnGVZKDl","United Kingdom",-18.717,201912,0.45,0.3,0.6,0.4,0.35,0.7,0.5,24
"5",77016,"The Party of Wales",55,100044424429675,"Plaid Cymru","https://scontent.fdel1-8.fna.fbcdn.net/v/t39.30808-1/323893668_1358208984938720_317741244303901002_n.jpg?stp=cp0_dst-jpg_s40x40_tt6&_nc_cat=100&ccb=1-7&_nc_sid=2d3e12&_nc_ohc=Bh7nGAfX3moQ7kNvwF3iph9&_nc_oc=Adn6vUU62cjk8tZRCC5ju6c-cKGx31k3Urk39R_TzDQSIRmKylbvFzSe1xEeyPMXXBk&_nc_zt=24&_nc_ht=scontent.fdel1-8.fna&_nc_gid=EkRBvj14pv1aENQOt-PZLQ&oh=00_AfEtbRvMCKg6DJG0y9i_zPwpC9IgZaXNmJEYZlhJXFmiCw&oe=68103F6A","https://www.facebook.com/PlaidCymruWales","PlaidCymruWales",10157564584220992,NA,"2019-12-11 19:30:00","https://www.plaid.cymru/7_rheswm_i_bleidleisio_dros_plaid_cymru_yn_yr_etholiad_cyffredinol","🏴󠁧󠁢󠁷󠁬󠁳󠁿llais cymru yn san steffan 


⚕️gofal cymdeithasol am ddim 


🌍swyddi gwyrdd


✊asau sy'n gweithio galetaf 


🇪🇺prif blaid aros cymru 





dal ddim yn siwr sut i bleidleisio fory? 





dyma resymau pam y dyle ti bleidleisio dros blaid cymru 👇",24,"https://www.facebook.com/PlaidCymruWales/posts/pfbid02uUadr6WUibxzMJTsN8QS4gEV2XEe15MxXyWNe2g6D5eEK3ED135Zc72v4v1eP4Uul","United Kingdom",-18.717,201912,0.25,0.1,0.8,0.2,0.15,0.75,0.6,42
"6",76775,"The Party of Wales",2698,100044424429675,"Plaid Cymru","https://scontent-waw2-2.xx.fbcdn.net/v/t39.30808-1/323893668_1358208984938720_317741244303901002_n.jpg?stp=cp0_dst-jpg_s40x40_tt6&_nc_cat=100&ccb=1-7&_nc_sid=2d3e12&_nc_ohc=Bh7nGAfX3moQ7kNvwFjnpTN&_nc_oc=Adn38Smu8pJEFqW5wXlC90gHAat_mbSfFurZMUwo-c_mjHMWtjVI62zOjzMpRTdmgm8&_nc_zt=24&_nc_ht=scontent-waw2-2.xx&_nc_gid=H8uIiQCyjzpH3HdAIaOM8A&oh=00_AfGO7jkiPhurtePfitua6vNyjHLtH7uSylRiG988QM9oIA&oe=68103F6A","https://www.facebook.com/PlaidCymruWales","PlaidCymruWales",10157291369285992,4357,"2019-09-06 14:43:22",NA,"newydd / new 





""boris johnson is in a position of great weakness, we will strengthen him if we allow him to have an early election"" - liz saville roberts as/mp",194,"https://www.facebook.com/PlaidCymruWales/videos/2367970850086073/","United Kingdom",-18.717,201912,0.35,0.45,0.4,0.3,0.25,0.2,0.15,27
"7",76811,"The Party of Wales",584,100044424429675,"Plaid Cymru","https://scontent.fsdu30-1.fna.fbcdn.net/v/t39.30808-1/323893668_1358208984938720_317741244303901002_n.jpg?stp=cp0_dst-jpg_s40x40_tt6&_nc_cat=100&ccb=1-7&_nc_sid=2d3e12&_nc_ohc=Bh7nGAfX3moQ7kNvwHV51Z3&_nc_oc=Adl0AEkUobleS8RlSD-93bUkei12aH7q_RIi69CabBuNTVSOJ6HzXgO0bkJ9P93z7mM&_nc_zt=24&_nc_ht=scontent.fsdu30-1.fna&_nc_gid=w4W3CyVNgSG5LVFfgvVtFg&oh=00_AfEzuU3yUFCe8emvrnfklypIrAOAsLMzHkpyrQhKXE-a_A&oe=68103F6A","https://www.facebook.com/PlaidCymruWales","PlaidCymruWales",10157520335810992,NA,"2019-11-26 18:13:26","https://www.bbc.co.uk/news/uk-wales-politics-50563923","😱labour's welsh manifesto has more detail on investment for scotland than it has for wales. 





🙃labour are promising a massive £100bn investment for scotland - but make no such commitment for wales even though we'd deserve £60bn on the same basis. 





😶this is how much labour is taking wales for granted.",230,"https://www.facebook.com/PlaidCymruWales/posts/pfbid09MniCoy8SwJKmB6n4C9g4GesV3ZFzZMGCkzXnriSmLnN6Nkb2PFHChT5UWRcJ4Cbl","United Kingdom",-18.717,201912,0.75,0.65,0.1,0.5,0.2,0.15,0.3,64
"8",76847,"The Party of Wales",126,100044424429675,"Plaid Cymru","https://scontent-det1-1.xx.fbcdn.net/v/t39.30808-1/323893668_1358208984938720_317741244303901002_n.jpg?stp=cp0_dst-jpg_s40x40_tt6&_nc_cat=100&ccb=1-7&_nc_sid=2d3e12&_nc_ohc=Bh7nGAfX3moQ7kNvwE3rCb8&_nc_oc=AdmoCxucZ_NtJKlmlD0W2BP6pJeVIzNmZLI9nVDC90Q8EGzHdWDHilgZT5VmEZXao7I&_nc_zt=24&_nc_ht=scontent-det1-1.xx&_nc_gid=pLARmP8pCMcgE-M9-nLEhg&oh=00_AfEpgSAVMwvGbb-uMSiX5XovDuVXSNDNXPe_Qgvg566-RQ&oe=68103F6A","https://www.facebook.com/PlaidCymruWales","PlaidCymruWales",2625143597572211,4204,"2019-12-10 13:00:54",NA,"""i've been an mp since 2001. after 18 years in the job you'd think i'd be scraping for inspiration, but i have a fundamental opposition to unfairness.""





this is hywel williams",159,"https://www.facebook.com/PlaidCymruWales/videos/2625143597572211/","United Kingdom",-18.717,201912,0.05,0.1,0.7,0.2,0.05,0.6,0.8,28
"9",76758,"The Party of Wales",653,100044424429675,"Plaid Cymru","https://scontent.fuvf1-1.fna.fbcdn.net/v/t39.30808-1/323893668_1358208984938720_317741244303901002_n.jpg?stp=cp0_dst-jpg_s40x40_tt6&_nc_cat=100&ccb=1-7&_nc_sid=2d3e12&_nc_ohc=Bh7nGAfX3moQ7kNvwH3e_xu&_nc_oc=AdkzNWgjBhKb3inuX9b64nQ6hkK8v0GKFg6H-3b1C41htcu1JlpYKt0BymJxqzbZIlU&_nc_zt=24&_nc_ht=scontent.fuvf1-1.fna&_nc_gid=FAy7ujZhy-LWIKUcJLGBhg&oh=00_AfFBBnM58iQrZDxWveYCcm0L1_01vwq565gqu1IQ4A9dHw&oe=68103F6A","https://www.facebook.com/PlaidCymruWales","PlaidCymruWales",10157511577645992,NA,"2019-11-23 18:02:28","https://plaid.cymru/manifesto_10","🌍swyddi gwyrdd


🚄rheilffyrdd trydan o'r gogledd i'r de 


💜gofal gydol oes


🚸cymryd 50,000 o blant allan o dlodi


🏠tai ac addysg i bawb


⚖️system gyfiawnder a heddlua i gymru





dyma rhai o bigion o faniffesto plaid cymru #niywcymru",33,"https://www.facebook.com/PlaidCymruWales/posts/pfbid02xWQej9zXZ4VHSwqHHK6f98pYYyD8M2wCF2mdieX3PxjJCPsTg2GzcDQ6R3Vxp6wAl","United Kingdom",-18.717,201912,0.1,0,0.8,0.1,0,0.7,0.65,38
"10",76889,"The Party of Wales",371,100044424429675,"Plaid Cymru","https://scontent.fsjj4-1.fna.fbcdn.net/v/t39.30808-1/323893668_1358208984938720_317741244303901002_n.jpg?stp=cp0_dst-jpg_s40x40_tt6&_nc_cat=100&ccb=1-7&_nc_sid=2d3e12&_nc_ohc=Bh7nGAfX3moQ7kNvwFhj3o7&_nc_oc=Adn1fG7WPP4H5vhVPpftI81--mhu_wVOvi-PlY6ru9UVxP2LPQKs_3Hh0ikx5-YCZUw&_nc_zt=24&_nc_ht=scontent.fsjj4-1.fna&_nc_gid=wtoagDrP8mgVaXGnAxOf1A&oh=00_AfFzxjo-brF11AXi4m8PVEAoJL8LLC45FoTj6ClGrloJkg&oe=68103F6A","https://www.facebook.com/PlaidCymruWales","PlaidCymruWales",10157542822065992,NA,"2019-12-04 11:34:31","https://www.partyof.wales/wales_needs_a_veto_to_protect_our_nhs_from_the_threat_from_the_threat_of_donald_trump_delyth_jewell_am","""our motion in the senedd today calls for wales to be given a veto over any deal that would lead to privatisation within our nhs and i would urge labour and the liberal democrat to put party politics aside and support our call.”





delyth jewell ac/am",163,"https://www.facebook.com/PlaidCymruWales/posts/pfbid0SmKuR36gTXa4XSm73oCAVToiFyJccGbrUcLi838dFQmZvmG1RFHHa5X2XBqPLs4ul","United Kingdom",-18.717,201912,0.15,0.1,0.6,0.2,0.25,0.55,0.4,32
