"user/id","user/name","user/profilePic","user/profileUrl","pageName","postId","viewsCount","time","link","text","likes","url"
"100069036525741","Հայաստան դաշինք","https://scontent.fman7-1.fna.fbcdn.net/v/t39.30808-1/278572710_296514855993063_3403287407073011844_n.jpg?stp=cp0_dst-jpg_s40x40_tt6&_nc_cat=108&ccb=1-7&_nc_sid=2d3e12&_nc_ohc=-MGk5lCSd3YQ7kNvwEKBTdY&_nc_oc=AdkCmih8BZ7NAD9R31F-r1ROSWnp73UTSdaNMfoKy-VjQVb0CHBHoSmDkJYNYWseqps&_nc_zt=24&_nc_ht=scontent.fman7-1.fna&_nc_gid=skhw3R8E2b0qS2Adz-8jZA&oh=00_AfHnHBlAbhxNFO_9Bee9-LFyO0lINfI35UTv7nSWm7k32A&oe=6813F7E8","https://www.facebook.com/hayastandashinq","hayastandashinq","127360439521926",,"2021-06-19T22:24:05.000Z",,"💪🏽🇦🇲","1947","https://www.facebook.com/hayastandashinq/posts/pfbid0BNKMxmBxYCdtAqmztbxLswJ4Aj57X6r9ULicna1LX3Gcx3hvm4YxwHQqUsr8ka31l"
"100069036525741","Հայաստան դաշինք","https://scontent.fman7-1.fna.fbcdn.net/v/t39.30808-1/278572710_296514855993063_3403287407073011844_n.jpg?stp=cp0_dst-jpg_s40x40_tt6&_nc_cat=108&ccb=1-7&_nc_sid=2d3e12&_nc_ohc=-MGk5lCSd3YQ7kNvwEKBTdY&_nc_oc=AdkCmih8BZ7NAD9R31F-r1ROSWnp73UTSdaNMfoKy-VjQVb0CHBHoSmDkJYNYWseqps&_nc_zt=24&_nc_ht=scontent.fman7-1.fna&_nc_gid=skhw3R8E2b0qS2Adz-8jZA&oh=00_AfHnHBlAbhxNFO_9Bee9-LFyO0lINfI35UTv7nSWm7k32A&oe=6813F7E8","https://www.facebook.com/hayastandashinq","hayastandashinq","127334042857899","57619","2021-06-19T20:44:04.000Z",,"Նկարագրեք Ռոբերտ Քոչարյանին մեկ բառով","716","https://www.facebook.com/hayastandashinq/videos/775940719613529/"
"100069036525741","Հայաստան դաշինք","https://scontent.fman7-1.fna.fbcdn.net/v/t39.30808-1/278572710_296514855993063_3403287407073011844_n.jpg?stp=cp0_dst-jpg_s40x40_tt6&_nc_cat=108&ccb=1-7&_nc_sid=2d3e12&_nc_ohc=-MGk5lCSd3YQ7kNvwEKBTdY&_nc_oc=AdkCmih8BZ7NAD9R31F-r1ROSWnp73UTSdaNMfoKy-VjQVb0CHBHoSmDkJYNYWseqps&_nc_zt=24&_nc_ht=scontent.fman7-1.fna&_nc_gid=skhw3R8E2b0qS2Adz-8jZA&oh=00_AfHnHBlAbhxNFO_9Bee9-LFyO0lINfI35UTv7nSWm7k32A&oe=6813F7E8","https://www.facebook.com/hayastandashinq","hayastandashinq","127314609526509","67918","2021-06-19T19:41:41.000Z",,"Այս քարոզարշավի ընթացքում մենք եղել ենք Հայաստանի բոլոր մարզերում, բազմաթիվ քաղաքներում ու գյուղերում։ Մենք սկսել ենք քարոզարշավը, բայց ավարտում ենք հաղթարշավով։ 
Սա պայքար չէ իշխանության համար։ Սա պայքար է պետականությունը մեր ժողովրդին վերադարձնելու համար։ Մենք գալիս ենք՝ արժանապատիվ խաղաղություն բերելու, սահմաններն ամուր պահելու և հասարակության մեջ համերաշխություն բերելու համար։ 

Վստահե՛ք մեզ, և ամեն ինչ լավ է լինելու։","1030","https://www.facebook.com/hayastandashinq/videos/791885468163345/"
"100050575355608","Բարգավաճ Հայաստան Կուսակցություն","https://scontent.fplu13-1.fna.fbcdn.net/v/t39.30808-1/250736193_415516053477570_1669653265941621826_n.jpg?stp=cp0_dst-jpg_s40x40_tt6&_nc_cat=101&ccb=1-7&_nc_sid=2d3e12&_nc_ohc=pQTJeh4EKJUQ7kNvwF86yGi&_nc_oc=AdkAlncHfa8bkCE6-J4edYsVOyXe7KY0Ami0OscvbXPuYpCqF9PFCFpuyq4PRv-KK5s&_nc_zt=24&_nc_ht=scontent.fplu13-1.fna&_nc_gid=zPxZg_08P6SSUm-A6xoIVA&oh=00_AfFONCmoyrvGOpUACaDgz3qmq1nsqlFmkaxvVgk88WZjAw&oe=6813F47B","https://www.facebook.com/bhk2021","bhk2021","2846117958984354","1675","2021-06-18T11:01:11.000Z",,"«Բարգավաճ Հայաստան» կուսակցության ծրագրային դրույթներ:","188","https://www.facebook.com/bhk2021/videos/756493755027114/"
"100050575355608","Բարգավաճ Հայաստան Կուսակցություն","https://scontent.fplu13-1.fna.fbcdn.net/v/t39.30808-1/250736193_415516053477570_1669653265941621826_n.jpg?stp=cp0_dst-jpg_s40x40_tt6&_nc_cat=101&ccb=1-7&_nc_sid=2d3e12&_nc_ohc=pQTJeh4EKJUQ7kNvwF86yGi&_nc_oc=AdkAlncHfa8bkCE6-J4edYsVOyXe7KY0Ami0OscvbXPuYpCqF9PFCFpuyq4PRv-KK5s&_nc_zt=24&_nc_ht=scontent.fplu13-1.fna&_nc_gid=zPxZg_08P6SSUm-A6xoIVA&oh=00_AfFONCmoyrvGOpUACaDgz3qmq1nsqlFmkaxvVgk88WZjAw&oe=6813F47B","https://www.facebook.com/bhk2021","bhk2021","2846051018991048","3820","2021-06-18T08:29:38.000Z",,"Անվտանգ հայրենիք, հզոր պետություն՝ ահա՛ այն կարգախոսը, այն հավատամքը, որով մենք գնում ենք ընտրություններին: 

Անվտանգ հայրենիք, հզոր պետություն՝ ահա՛ այն գերագույն նպատակը, որի համար մենք ակնկալում ենք ձեր վստահության քվեն: Մեր համազգային իղձերը իրականություն կդառնան բացառապես ՀՀ քաղաքացու ցանկությամբ:

Վստահե՛ք ձեր քվեն Բարգավաճ Հայաստան կուսակցությանը, վստահե՛ք և պահանջե՛ք...","213","https://www.facebook.com/bhk2021/videos/3057664791136654/"
"100050575355608","Բարգավաճ Հայաստան Կուսակցություն","https://scontent.fplu13-1.fna.fbcdn.net/v/t39.30808-1/250736193_415516053477570_1669653265941621826_n.jpg?stp=cp0_dst-jpg_s40x40_tt6&_nc_cat=101&ccb=1-7&_nc_sid=2d3e12&_nc_ohc=pQTJeh4EKJUQ7kNvwF86yGi&_nc_oc=AdkAlncHfa8bkCE6-J4edYsVOyXe7KY0Ami0OscvbXPuYpCqF9PFCFpuyq4PRv-KK5s&_nc_zt=24&_nc_ht=scontent.fplu13-1.fna&_nc_gid=zPxZg_08P6SSUm-A6xoIVA&oh=00_AfFONCmoyrvGOpUACaDgz3qmq1nsqlFmkaxvVgk88WZjAw&oe=6813F47B","https://www.facebook.com/bhk2021","bhk2021","2846005315662285",,"2021-06-18T06:23:14.000Z",,"Քարոզարշավի վերջին օրը ԲՀԿ-ն նախընտրական հանդիպում կունենա Արմավիրի մարզի բնակիչների հետ:

Սիրելի՛ արմավիրցիներ, կուսակցության նախագահ Գագիկ Ծառուկյանը ձեզ կներկայացնի մեր նախընտրական ծրագիրն ու խնդիրների լուծման մեր բանաձևը:

🔴 18:00 Քաղաք Էջմիածին («Անմար կրակ» հուշահամալիր):

🔴 19:00 Քաղաք Արմավիր (մշակույթի տան կից հրապարակ):","215","https://www.facebook.com/bhk2021/posts/pfbid0Wd6kXF7J3bFqcVt2YRALbsXQjEyBBvHEWqsx7cmxFDEaUyqfURuyN8P5UEMNEpdPl"
"100069269137198","«ՊԱՏԻՎ ՈՒՆԵՄ» դաշինք","https://scontent.fhan17-1.fna.fbcdn.net/v/t39.30808-1/251324043_194414176210886_2026250655699634938_n.png?stp=cp0_dst-png_s40x40&_nc_cat=108&ccb=1-7&_nc_sid=2d3e12&_nc_ohc=nwtrPSIEwucQ7kNvwFU57ph&_nc_oc=AdnwVgmlHms1LruT6w2uts098vhsBYAd9Z1cWghrDuMDX95c16170PS6y2eJixaJL18&_nc_zt=24&_nc_ht=scontent.fhan17-1.fna&_nc_gid=OAPl4yiEMqpytkIl7tp6mw&oh=00_AfFGtxnsOcoTI3tNFcJy75u0FGFXEXn0kuFm2Gbu8S4-3Q&oe=68140F93","https://www.facebook.com/pativunenk","pativunenk","125481243041163",,"2021-06-19T17:30:10.000Z","https://media1.tenor.co/images/8ccf3cf2f8bb838de58cab62fd58be0e/tenor.gif?itemid=12833376","«Հրավիրում ենք ԿԸՀ-ի և դիտորդների ուշադրությունը»․ Սոս Հակոբյան

«Մենք ստանում ենք բազմաթիվ ահազանգեր մեր պատգամավորական թեկնածուներից և իրենց ակտիվիստներից հետևյալի մասին, որ ուղղակի զանգահարում են և կանչում են ոստիկանության բաժանմունքներ, քննչական մարմիններ՝ ասելով, որ 1-1,5 ժամից պարտավոր եք ներկայանալ։ Կան նաև տեղեկություններ, որ հետևում են տասնյակ մարդկանց, որոնք մինչև այս օրը զբաղված էին քարոզչական գործով, դրանից հետո կանչելով բաժիններ, առնվազն մի քանի ժամ պահում են, որոշակի գործողություններից հետո փաստաբանների ներկայությամբ մի մասին բաց են թողնում, մի մասին պահում են ավելի երկար»,-այսօր լրագրողների հետ հանդիպմանն ասաց «Պատիվ ունեմ» դաշինքի կենտրոնակայանում տեղի կունենա դաշինքի հանրային կապերի և ԶԼՄ-ների հետ հարաբերությունների պատասխանատու, «Հայրենիք» կուսակցության մամուլի քարտուղար Սոս Հակոբյանը՝ հրավիրելով բոլոր միջազգային դիտորդների, լրատվամիջոցների ուշադրությունը՝ այս դեպքերի վրա։

«Մենք ստացել ենք տեղեկատվություն, որ մի շարք տեղամասերում «Պատիվ ունեմ» դաշինքի քվեաթերթիկների վրա կան կապույտ գույնի նշումներ։ Որոշ ընտրական տեղամասերում դրանց թիվը հասնում է մինչև 300-ի։ Մենք այս պահին ԿԸՀ ուշադրությունն ենք հրավիրում այս հանգամանքին, որ հստակ տրվի պարզաբանում, որ սա չի կարող հիմք լինել քվեաթերթիկների անվավերության համար»,-նշել է նա:

#Պատիվ_ունեմ","125","https://www.facebook.com/pativunenk/posts/pfbid0oXhQizsfsjEQd4EsunU73ak22PoS1aPRrx3NZoYTY2KsLVneW6QaBm9uvvaGGt7Pl"
"100069269137198","«ՊԱՏԻՎ ՈՒՆԵՄ» դաշինք","https://scontent.fhan17-1.fna.fbcdn.net/v/t39.30808-1/251324043_194414176210886_2026250655699634938_n.png?stp=cp0_dst-png_s40x40&_nc_cat=108&ccb=1-7&_nc_sid=2d3e12&_nc_ohc=nwtrPSIEwucQ7kNvwFU57ph&_nc_oc=AdnwVgmlHms1LruT6w2uts098vhsBYAd9Z1cWghrDuMDX95c16170PS6y2eJixaJL18&_nc_zt=24&_nc_ht=scontent.fhan17-1.fna&_nc_gid=OAPl4yiEMqpytkIl7tp6mw&oh=00_AfFGtxnsOcoTI3tNFcJy75u0FGFXEXn0kuFm2Gbu8S4-3Q&oe=68140F93","https://www.facebook.com/pativunenk","pativunenk","1720670861614617","11965","2021-06-19T16:13:38.000Z",,"«Պատիվ ունեմ» դաշինքի հանրային կապերի և ԶԼՄ-ների հետ հարաբերությունների պատասխանատու Սոս Հակոբյանի ասուլիսը. ՈւՂԻՂ","237","https://www.facebook.com/pativunenk/videos/1720670861614617/"
"100069269137198","«ՊԱՏԻՎ ՈՒՆԵՄ» դաշինք","https://scontent.fhan17-1.fna.fbcdn.net/v/t39.30808-1/251324043_194414176210886_2026250655699634938_n.png?stp=cp0_dst-png_s40x40&_nc_cat=108&ccb=1-7&_nc_sid=2d3e12&_nc_ohc=nwtrPSIEwucQ7kNvwFU57ph&_nc_oc=AdnwVgmlHms1LruT6w2uts098vhsBYAd9Z1cWghrDuMDX95c16170PS6y2eJixaJL18&_nc_zt=24&_nc_ht=scontent.fhan17-1.fna&_nc_gid=OAPl4yiEMqpytkIl7tp6mw&oh=00_AfFGtxnsOcoTI3tNFcJy75u0FGFXEXn0kuFm2Gbu8S4-3Q&oe=68140F93","https://www.facebook.com/pativunenk","pativunenk","125424209713533",,"2021-06-19T14:38:46.000Z",,"‼️Ի գիտություն լրատվամիջոցների, 

Հունիսի 19-ին ժամը 20:00-ին «Պատիվ ունեմ» դաշինքի կենտրոնակայանում տեղի կունենա դաշինքի հանրային կապերի և ԶԼՄ-ների հետ հարաբերությունների պատասխանատու, «Հայրենիք» կուսակցության մամուլի քարտուղար Սոս Հակոբյանի հրատապ մամուլի ասուլիսը՝ այսօր վաղ առավոտից «Պատիվ ունեմ» դաշինքի անդամների նկատմամբ հարուցված մասսայական քաղաքական հետապնդումների թեմայով:

Հասցե՝ Ձորափի փող., 70/1 շենք («Հայրենիք» կուսակցության կենտրոնական գրասենյակ):

#Պատիվ_ունեմ","184","https://www.facebook.com/pativunenk/posts/pfbid02QxV9dRrNzMpWEruQwwXWX5LaDXgEqFgBt67x61ksG3jE3B7SVqSu9mKoAAuYTN4ml"
"100069036525741","Հայաստան դաշինք","https://scontent.fcxh3-1.fna.fbcdn.net/v/t39.30808-1/278572710_296514855993063_3403287407073011844_n.jpg?stp=cp0_dst-jpg_s40x40_tt6&_nc_cat=108&ccb=1-7&_nc_sid=2d3e12&_nc_ohc=-MGk5lCSd3YQ7kNvwHVtc-Q&_nc_oc=Adl-slW3tx_XWyjdjJPPRSJgOBcUR2nDeajLHV4Kv1hcrVhLnQ7bKeOAnyTxRH2DxkA&_nc_zt=24&_nc_ht=scontent.fcxh3-1.fna&_nc_gid=3b_yFB8T342E9jF_7we3tA&oh=00_AfEx8qk-yX8Kw8cM1y1B92AavxCiP9_aBa3HXnlo1L-n9Q&oe=6813F7E8","https://www.facebook.com/hayastandashinq","hayastandashinq","127307802860523",,"2021-06-19T19:05:39.000Z",,"Դեպի ուժեղ Հայաստան 🇦🇲","2004","https://www.facebook.com/hayastandashinq/posts/pfbid02oESYmkj7mEQ67iHF2LsYo5SsBHnT3eMmpjPMkZ2TJbjJauVioLpAgYbhGkYPuKHrl"
